time,user_name,user_color,message
59,chris96cross,#B22222,"chris96cross subscribed at Tier 1. They've subscribed for 30 months! FlowerCatJAM EDM"
60,jim_jam_devourer_of_gods,#FF69B4,"nu"
60,claymore155,#DAA520,"zenyahDance zenyahDance zenyahDance zenyahDance zenyahDance zenyahDance zenyahDance"
60,omnihakurei,#0000FF,"vedalWave vedalWave"
61,blueballsjuggling,,"vedalEvilCheer vedalEvilCheer vedalNURU vedalNURU vedalNURU vedalEvilCheer vedalEvilCheer vedalEvilCheer"
61,ravaxo,#BD005D,"nu TeaTime"
61,qman_dk,#0000FF,"FlowerCatJAM FlowerCatJAM"
62,redkaosz,#FF0000,"nu nwero"
62,emperorgabeallfor1,,"NEURO IS HERE"
62,real7r,#8A2BE2,"vedalDance vedalDance vedalDance"
62,hardrockhess1989,#0000FF,"NOODLE CHUN STREAM POG"
62,solvenot,#00FF7F,"neuroOnline"
62,shadrake_,#0000FF,"let's gooooooo"
62,minpatsu,#FF69B4,"nuuuuuuuuu"
63,saleh_abou,,"neuroOnline"
63,whippapilla,#9ACD32,"nu"
63,vibe7394,#8A2BE2,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
65,topshelfoats,,"vedalDance vedalDance vedalDance vedalDance"
66,5imon18,#2E8B57,"puopa"
66,itsralphhh,#1E90FF,"neuroOnline"
66,oakplays05,#1E90FF,"vedalCheer vedalDance vedalCheer"
66,b2198,#008000,"neuroOnline"
66,kiftikobra_4,#8A2BE2,"NeuroTuck MaisatRaisat"
67,stany_d,#FF4500,"EvilTuckk"
67,melbye_dk,,"NEURO!!"
68,iliveinyourhead1,#FF0000,"Yo"
68,sebix_po_polsku,,"neuroOnline"
68,schpatz,#008000,"euro87Wigol euro87Wigol euro87Wigol euro87Wigol euro87Wigol"
68,powerkiddd,,"neuroOnline"
68,lugiou,#DAA520,"by"
68,prilkrevan,#FF69B4,"neuroOnline"
68,pinkeop,#00FF7F,"AlienDance same 5 songs"
69,destroyedarkana,#FF0000,"Pog"
69,reallllname,#FF0000,"tuckk MaisatRaisat"
69,harmonicreflux,#FF0000,"neuroOnline"
69,ravaxo,#BD005D,"nu FIRST SPAM"
69,kirby5790,#FF7F50,"tomScream"
70,squiddinx,#5F9EA0,"vedalCheer vedalCheer vedalCheer"
70,schnooogle,#FF4500,"nu"
70,macronus,#7910B3,"vedalWave"
70,hjalnir,#FF00CC,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
71,shillianne,#8A2BE2,"neuroOnline"
71,dudewithhotdog,,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
71,wisurubi,#D2691E,"nwero"
72,tobiwonkanogy,#9ACD32,"EvilDance NeuroDance EvilDance NeuroDance EvilDance NeuroDance neuroNODDERS neuroNODDERS neuroNODDERS"
